Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Premises Baited,Number of Premises with Garbage,Number of Premises with Rats,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
04/20/2015,Open,,15-01453767,Rodent Baiting/Rat Complaint,,,,,,2226 W PRATT BLVD,60645,1160067.36000073,1945109.53099298,50,24,2,42.0050914783,-87.6864505686,"(42.005091478339786, -87.68645056862741)"
04/20/2015,Open,,15-01452435,Rodent Baiting/Rat Complaint,,,,,,1445 W BERTEAU AVE,60613,1165778.21272058,1927992.73031286,47,19,6,41.9580021286,-87.6659307315,"(41.958002128614716, -87.665930731459)"
04/20/2015,Open,,15-01454316,Rodent Baiting/Rat Complaint,,,,,,2615 W 35TH PL,60632,1159508.613309,1881031.20001725,12,9,58,41.8292673384,-87.6902739306,"(41.82926733840039, -87.6902739306192)"
04/20/2015,Open,,15-01446687,Rodent Baiting/Rat Complaint,,,,,,6215 W 64TH ST,60638,1136086.06480827,1861437.30852175,13,8,64,41.7759472851,-87.7766773764,"(41.77594728508526, -87.77667737635062)"
04/20/2015,Open,,15-01448334,Rodent Baiting/Rat Complaint,,,,,,1737 N NORTH PARK AVE,60614,1173845.22622142,1912003.33251363,43,18,7,41.9139504166,-87.6367514268,"(41.913950416648404, -87.63675142677161)"
04/20/2015,Open,,15-01457453,Rodent Baiting/Rat Complaint,,,,,,2531 W JEROME ST,60645,1158082.61560567,1950012.35562481,50,24,2,42.0185859002,-87.6936177771,"(42.01858590015824, -87.69361777714096)"
04/20/2015,Open,,15-01457375,Rodent Baiting/Rat Complaint,,,,,,3214 N RIDGEWAY AVE,60618,1150826.76989512,1921111.71343055,30,17,21,41.939426473,-87.7210784143,"(41.93942647299829, -87.72107841433198)"
04/20/2015,Open,,15-01469312,Rodent Baiting/Rat Complaint,,,,,,5341 W 64TH ST,60638,1141793.9440299,1861621.73107978,13,8,64,41.7763500803,-87.755747819,"(41.77635008028494, -87.75574781901823)"
04/20/2015,Open,,15-01463849,Rodent Baiting/Rat Complaint,,,,,,7800 S KEATING AVE,60652,1146097.30981699,1852414.57752754,13,8,70,41.7510036495,-87.7402044217,"(41.75100364947367, -87.7402044216865)"
04/20/2015,Open,,15-01449507,Rodent Baiting/Rat Complaint,,,,,,6625 N CALIFORNIA AVE,60645,1156461.21833133,1943832.45321981,50,24,2,42.0016611276,-87.6997525803,"(42.001661127556986, -87.69975258031504)"
04/20/2015,Open,,15-01449291,Rodent Baiting/Rat Complaint,,,,,,3807 W 46TH PL,60632,1151720.87188606,1873532.6100741,14,8,57,41.808846594,-87.7190438002,"(41.80884659395471, -87.71904380018962)"
04/20/2015,Open,,15-01451370,Rodent Baiting/Rat Complaint,,,,,,531 N WELLS ST,60654,1174641.77886782,1903864.27559026,42,18,8,41.8915986468,-87.6340688001,"(41.89159864678949, -87.63406880013113)"
04/20/2015,Open,,15-01467472,Rodent Baiting/Rat Complaint,,,,,,4329 W ROSCOE ST,60641,1146782.72002966,1922247.59970912,31,17,16,41.9426217394,-87.7359124832,"(41.94262173941139, -87.73591248316538)"
04/20/2015,Open,,15-01450169,Rodent Baiting/Rat Complaint,,,,,,5365 S WELLS ST,60609,1175516.96502771,1869371.53491501,3,9,37,41.796928306,-87.6318892912,"(41.79692830604399, -87.63188929120498)"
04/20/2015,Open,,15-01449184,Rodent Baiting/Rat Complaint,,,,,,3627 N PULASKI RD,60641,1149079.85647246,1923938.4997661,30,17,16,41.9472174633,-87.727425429,"(41.94721746327516, -87.7274254290094)"
04/20/2015,Open,,15-01452708,Rodent Baiting/Rat Complaint,,,,,,4121 N DAMEN AVE,60618,1162273.83136889,1927454.45028216,47,19,5,41.9565992324,-87.6788291563,"(41.956599232374344, -87.67882915633062)"
04/20/2015,Open,,15-01457609,Rodent Baiting/Rat Complaint,,,,,,3400 N RIDGEWAY AVE,60618,1150790.74959553,1922346.14309339,30,17,21,41.9428145522,-87.7211784012,"(41.94281455216026, -87.72117840117298)"
04/20/2015,Open,,15-01451654,Rodent Baiting/Rat Complaint,,,,,,2829 W LAWRENCE AVE,60625,1156536.72999666,1931757.2583071,47,19,4,41.968524688,-87.6998033742,"(41.9685246880091, -87.69980337423922)"
04/20/2015,Open,,15-01449399,Rodent Baiting/Rat Complaint,,,,,,4631 S KEELER AVE,60632,1149136.18230237,1873594.7099702,14,8,57,41.8090673106,-87.7285224237,"(41.809067310584666, -87.72852242369304)"
04/20/2015,Open,,15-01446451,Rodent Baiting/Rat Complaint,,,,,,2056 W HURON ST,60612,1162568.34217318,1904669.96731987,1,12,24,41.8940709685,-87.6783862357,"(41.894070968469876, -87.67838623567332)"
04/20/2015,Open,,15-01457188,Rodent Baiting/Rat Complaint,,,,,,3305 N SPRINGFIELD AVE,60618,1149811.03650959,1921691.7641072,30,17,21,41.9410380258,-87.7247964168,"(41.941038025759205, -87.72479641679413)"
04/20/2015,Open,,15-01449689,Rodent Baiting/Rat Complaint,,,,,,6629 S ELLIS AVE,60637,1184028.82921621,1861261.02890524,5,3,42,41.7744775416,-87.6009290113,"(41.77447754157831, -87.60092901130804)"
04/20/2015,Open,,15-01456680,Rodent Baiting/Rat Complaint,,,,,,9600 S INDIANA AVE,60628,1179273.87492531,1841364.05949879,6,5,49,41.7199877582,-87.6189652635,"(41.71998775821216, -87.61896526345369)"
04/20/2015,Open,,15-01448108,Rodent Baiting/Rat Complaint,,,,,,5913 S PEORIA ST,60621,1171318.05830715,1865628.34648051,16,7,68,41.7867495703,-87.6473966222,"(41.786749570286446, -87.64739662216515)"
04/20/2015,Open,,15-01450149,Rodent Baiting/Rat Complaint,,,,,,2128 W DIVISION ST,60622,1161997.69206859,1907968.85302803,32,14,24,41.9031353037,-87.6803898402,"(41.903135303705525, -87.68038984019162)"
04/20/2015,Open,,15-01456797,Rodent Baiting/Rat Complaint,,,,,,3700 N KOSTNER AVE,60641,1146073.97068323,1924203.30088078,38,17,16,41.9480018775,-87.738467608,"(41.948001877521634, -87.73846760798398)"
04/20/2015,Open,,15-01458437,Rodent Baiting/Rat Complaint,,,,,,9014 S EUCLID AVE,60617,1190750.54123128,1845587.99182919,8,4,48,41.7313096375,-87.5767939559,"(41.73130963747279, -87.57679395586132)"
04/20/2015,Open,,15-01450819,Rodent Baiting/Rat Complaint,,,,,,3113 N HOYNE AVE,60618,1161805.34813126,1920715.47598967,32,19,5,41.9381169207,-87.6807400541,"(41.938116920686156, -87.68074005410526)"
04/20/2015,Open,,15-01456648,Rodent Baiting/Rat Complaint,,,,,,9500 S INDIANA AVE,60628,1179261.05008843,1842027.73846996,6,5,49,41.7218092706,-87.6189920666,"(41.72180927055929, -87.61899206658755)"
04/20/2015,Open - Dup,,15-01464003,Rodent Baiting/Rat Complaint,,,,,,3055 W BELDEN AVE,60647,1155633.4800311,1915252.54032207,35,14,22,41.9232528983,-87.7035704831,"(41.92325289833742, -87.70357048311345)"
04/20/2015,Open,,15-01457223,Rodent Baiting/Rat Complaint,,,,,,546 W 126TH ST,60628,1174852.77739311,1821345.61989995,9,5,53,41.6651536518,-87.6357522685,"(41.66515365182604, -87.63575226846494)"
04/20/2015,Open,,15-01450801,Rodent Baiting/Rat Complaint,,,,,,8641 S PHILLIPS AVE,60617,1193996.63449923,1848155.13393255,7,4,46,41.7382751917,-87.5648185542,"(41.73827519166736, -87.5648185541527)"
04/20/2015,Open,,15-01457809,Rodent Baiting/Rat Complaint,,,,,,1700 N NEVA AVE,60707,1128330.51050373,1910503.69517581,36,25,25,41.9107278525,-87.8040006867,"(41.91072785248289, -87.80400068671457)"
04/20/2015,Open,,15-01454687,Rodent Baiting/Rat Complaint,,,,,,1305 W 110TH ST,60643,1169586.97591154,1831825.9246664,34,22,75,41.6940287269,-87.6547210047,"(41.694028726898836, -87.6547210047234)"
04/20/2015,Open,,15-01452167,Rodent Baiting/Rat Complaint,,,,,,3137 N MENARD AVE,60634,1137162.99728208,1920268.11711766,30,25,19,41.9373683642,-87.7713176635,"(41.937368364172904, -87.77131766347932)"
04/20/2015,Open,,15-01451126,Rodent Baiting/Rat Complaint,,,,,,4445 S WALLACE ST,60609,1173042.42488041,1875319.62017766,11,9,61,41.8133055032,-87.640787911,"(41.81330550324769, -87.64078791097798)"
04/20/2015,Open,,15-01452439,Rodent Baiting/Rat Complaint,,,,,,9924 S GREEN ST,60643,1172396.13988806,1839037.62380657,34,22,73,41.7137575282,-87.6442246668,"(41.71375752816427, -87.64422466679942)"
04/20/2015,Open,,15-01450118,Rodent Baiting/Rat Complaint,,,,,,5044 W STRONG ST,60630,1141850.31227235,1932443.04157974,45,16,11,41.9706918346,-87.7537881794,"(41.97069183462742, -87.75378817940671)"
04/20/2015,Open,,15-01453447,Rodent Baiting/Rat Complaint,,,,,,6032 N KEDVALE AVE,60646,1147590.06958366,1939765.95439702,39,17,12,41.990677909,-87.7324935334,"(41.99067790897774, -87.73249353342902)"
04/20/2015,Open,,15-01447558,Rodent Baiting/Rat Complaint,,,,,,7016 S EMERALD AVE,60621,1172518.96479285,1858346.42782641,6,7,68,41.7667407668,-87.6432077385,"(41.766740766815445, -87.64320773848705)"
04/20/2015,Open,,15-01468136,Rodent Baiting/Rat Complaint,,,,,,6019 W SUNNYSIDE AVE,60630,1135333.7098806,1929281.59576906,38,16,15,41.9621349915,-87.7778260038,"(41.96213499154426, -87.77782600384525)"
04/20/2015,Open,,15-01456709,Rodent Baiting/Rat Complaint,,,,,,3349 N RIDGEWAY AVE,60618,1150800.46352213,1922010.52443419,30,17,21,41.9418933977,-87.7211515073,"(41.94189339767494, -87.72115150732624)"
04/20/2015,Open,,15-01449660,Rodent Baiting/Rat Complaint,,,,,,6525 N WHIPPLE ST,60645,1154820.15579094,1943118.98531517,50,24,2,41.9997365047,-87.7058090839,"(41.99973650465978, -87.70580908389675)"
04/20/2015,Open,,15-01449472,Rodent Baiting/Rat Complaint,,,,,,6132 N MOODY AVE,60646,1134164.66776951,1940433.27677842,45,16,10,41.9927569449,-87.7818602115,"(41.99275694491555, -87.78186021146949)"
04/20/2015,Open,,15-01456923,Rodent Baiting/Rat Complaint,,,,,,7838 S KEELER AVE,60652,1149900.36537414,1852530.09981586,13,8,70,41.7512478738,-87.726264956,"(41.75124787378843, -87.72626495603541)"
04/20/2015,Open,,15-01454869,Rodent Baiting/Rat Complaint,,,,,,2799 N ALBANY AVE,60647,1155226.1815304,1918452.06570132,35,14,22,41.9320408429,-87.7049808959,"(41.93204084294736, -87.70498089586644)"
04/20/2015,Open,,15-01449943,Rodent Baiting/Rat Complaint,,,,,,3757 W 55TH ST,60632,1152176.10011026,1867865.33612499,23,8,62,41.7932858322,-87.7175230194,"(41.79328583222533, -87.71752301942038)"
04/20/2015,Open,,15-01449104,Rodent Baiting/Rat Complaint,,,,,,2008 W ROSCOE ST,60618,1162328.83127304,1922576.45037671,32,19,5,41.9432125899,-87.6787639208,"(41.94321258988099, -87.6787639207544)"
04/20/2015,Open,,15-01448067,Rodent Baiting/Rat Complaint,,,,,,7437 N OAKLEY AVE,60645,1159744.67630703,1949189.48999984,49,24,2,42.0162936864,-87.6875245036,"(42.01629368643175, -87.68752450362994)"
04/20/2015,Open,,15-01447736,Rodent Baiting/Rat Complaint,,,,,,6038 W MELROSE ST,60634,1135562.4277153,1920980.48996606,36,16,17,41.9393518355,-87.7771831348,"(41.93935183553363, -87.77718313481083)"
04/20/2015,Open - Dup,,15-01455043,Rodent Baiting/Rat Complaint,,,,,,2700 N ALBANY AVE,60647,1155245.65837484,1917787.41197863,35,14,22,41.9302165909,-87.704927223,"(41.9302165909212, -87.70492722300007)"
04/20/2015,Open,,15-01448974,Rodent Baiting/Rat Complaint,,,,,,6208 S WOOD ST,60636,1165413.18537639,1863515.94038502,15,7,67,41.7810800914,-87.6691068761,"(41.78108009140464, -87.66910687605943)"
04/20/2015,Open - Dup,,15-01452525,Rodent Baiting/Rat Complaint,,,,,,2153 W CULLOM AVE,60618,1161150.69136688,1928528.89409663,47,19,5,41.9595710256,-87.6829281401,"(41.95957102560329, -87.68292814014728)"
04/20/2015,Open,,15-01453417,Rodent Baiting/Rat Complaint,,,,,,6143 N MOZART ST,60659,1156227.97292098,1940657.76546887,50,24,2,41.9929543841,-87.7006969494,"(41.99295438406831, -87.70069694943307)"
04/20/2015,Open,,15-01452123,Rodent Baiting/Rat Complaint,,,,,,6327 N TALMAN AVE,60659,1157512.24752819,1941891.45712817,50,24,2,41.9963135525,-87.6959391339,"(41.99631355254021, -87.69593913389274)"
04/20/2015,Open - Dup,,15-01463002,Rodent Baiting/Rat Complaint,,,,,,3642 S SEELEY AVE,60609,1163285.14948706,1880517.66563099,11,9,59,41.8277797347,-87.6764323295,"(41.827779734672625, -87.67643232951593)"
04/20/2015,Open,,15-01460094,Rodent Baiting/Rat Complaint,,,,,,4329 S SAWYER AVE,60632,1155429.13978564,1875757.14278894,14,8,58,41.8148774688,-87.7053828919,"(41.81487746877292, -87.70538289192139)"
04/20/2015,Open,,15-01452876,Rodent Baiting/Rat Complaint,,,,,,6622 S KILDARE AVE,60629,1148845.9900325,1860341.32002589,13,8,65,41.7727035399,-87.7299279885,"(41.7727035399122, -87.72992798848212)"
04/20/2015,Open,,15-01457294,Rodent Baiting/Rat Complaint,,,,,,3400 N HAMLIN AVE,60618,1150457.88779192,1922337.8831247,30,17,21,41.9427984026,-87.7224020526,"(41.942798402595116, -87.72240205263148)"
04/20/2015,Open,,15-01457264,Rodent Baiting/Rat Complaint,,,,,,3332 N HAMLIN AVE,60618,1150471.19421286,1921888.52819207,30,17,21,41.9415650766,-87.7223649166,"(41.941565076588255, -87.72236491662674)"
04/20/2015,Open,,15-01451078,Rodent Baiting/Rat Complaint,,,,,,10751 S COTTAGE GROVE AVE,60628,1182219.48402331,1833784.89008343,9,5,50,41.6991219728,-87.6084100946,"(41.69912197278285, -87.60841009461545)"
04/20/2015,Open,,15-01447561,Rodent Baiting/Rat Complaint,,,,,,7018 S EMERALD AVE,60621,1172519.36479285,1858333.12782641,6,7,68,41.7667042612,-87.6432066635,"(41.76670426120302, -87.64320666347926)"
04/20/2015,Open,,15-01454322,Rodent Baiting/Rat Complaint,,,,,,3306 W FULTON BLVD,60624,1154260.70150477,1901806.01889836,28,11,27,41.8863819795,-87.7089741905,"(41.886381979517, -87.70897419051357)"
04/20/2015,Open,,15-01454824,Rodent Baiting/Rat Complaint,,,,,,1747 W 35TH ST,60609,1165180.52799172,1881507.7001309,11,9,59,41.830456514,-87.6694503411,"(41.83045651396442, -87.66945034109038)"
04/20/2015,Open,,15-01457247,Rodent Baiting/Rat Complaint,,,,,,3200 N AVERS AVE,60618,1150163.29983103,1921002.17448945,30,17,21,41.9391388663,-87.7235197367,"(41.93913886634264, -87.7235197367224)"
04/20/2015,Open,,15-01452893,Rodent Baiting/Rat Complaint,,,,,,1647 N FRANCISCO AVE,60647,1156879.13018248,1910875.35720418,1,14,24,41.9112163653,-87.6991124473,"(41.91121636534311, -87.69911244734017)"
04/20/2015,Open,,15-01446699,Rodent Baiting/Rat Complaint,,,,,,509 E 62ND ST,60637,1180739.12723351,1864014.19857217,20,3,42,41.7821087539,-87.6129038281,"(41.78210875386617, -87.61290382806956)"
04/20/2015,Open,,15-01457227,Rodent Baiting/Rat Complaint,,,,,,3405 N SPRINGFIELD AVE,60618,1149792.19921238,1922354.85939852,30,17,21,41.94285798,-87.7248483515,"(41.942857979951775, -87.72484835146666)"
04/20/2015,Open,,15-01461607,Rodent Baiting/Rat Complaint,,,,,,6451 N RICHMOND ST,60645,1155497.97289245,1942650.07470918,50,24,2,41.9984361356,-87.7033282456,"(41.99843613562446, -87.70332824564834)"
04/20/2015,Open,,15-01446956,Rodent Baiting/Rat Complaint,,,,,,4018 W 50TH ST,60632,1150350.12368387,1871153.29917248,14,8,57,41.8023441933,-87.7241333378,"(41.80234419332398, -87.7241333378459)"
04/20/2015,Open,,15-01462947,Rodent Baiting/Rat Complaint,,,,,,3014 N KENMORE AVE,60657,1168756.61001007,1920183.54150051,44,19,6,41.9365092199,-87.6552082974,"(41.936509219899115, -87.65520829742523)"
04/20/2015,Open,,15-01445906,Rodent Baiting/Rat Complaint,,,,,,6414 N MAPLEWOOD AVE,60645,1158157.23541293,1942483.18032655,50,24,2,41.9979240649,-87.6935502428,"(41.99792406489992, -87.69355024276447)"
04/20/2015,Open,,15-01450074,Rodent Baiting/Rat Complaint,,,,,,344 W GOETHE ST,60610,1173637.31470166,1908986.74390116,27,18,8,41.9056773813,-87.6376051408,"(41.905677381342535, -87.63760514076155)"
04/20/2015,Open,,15-01455875,Rodent Baiting/Rat Complaint,,,,,,3519 N RAVENSWOOD AVE,60657,1163621.00581942,1923479.61991667,32,19,6,41.9456637598,-87.6739890057,"(41.94566375978976, -87.67398900573518)"
04/20/2015,Open - Dup,,15-01457340,Rodent Baiting/Rat Complaint,,,,,,531 N WELLS ST,60654,1174641.77886782,1903864.27559026,42,18,8,41.8915986468,-87.6340688001,"(41.89159864678949, -87.63406880013113)"
04/20/2015,Open,,15-01446091,Rodent Baiting/Rat Complaint,,,,,,6614 N ARTESIAN AVE,60645,1158785.30031467,1943828.78701318,50,24,2,42.0016035575,-87.6912026878,"(42.00160355747045, -87.6912026877958)"
04/20/2015,Open,,15-01457798,Rodent Baiting/Rat Complaint,,,,,,1752 N LONG AVE,60639,1140125.75889021,1911126.10582759,37,25,25,41.9122278916,-87.7606532558,"(41.912227891557606, -87.76065325582125)"
04/20/2015,Open,,15-01456703,Rodent Baiting/Rat Complaint,,,,,,1115 W MONTANA ST,60614,1168453.34650021,1916458.79270011,43,19,7,41.9262949027,-87.6564308938,"(41.92629490273379, -87.65643089379263)"
04/20/2015,Open,,15-01448016,Rodent Baiting/Rat Complaint,,,,,,2115 W BARRY AVE,60618,1161650.04813126,1920567.47598967,32,19,5,41.9377140425,-87.6813149506,"(41.93771404247268, -87.68131495058554)"
